TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                       
RuleAction                                                                                                                       DeletedAt                                                                                                                        datetime2                                                                                                                       
RuleAction                                                                                                                       Expression                                                                                                                       nvarchar                                                                                                                        
RuleCondition                                                                                                                    ConditionId                                                                                                                      uniqueidentifier                                                                                                                
RuleCondition                                                                                                                    FactName                                                                                                                         nvarchar                                                                                                                        
RuleCondition                                                                                                                    Operator                                                                                                                         nvarchar                                                                                                                        
RuleCondition                                                                                                                    Value                                                                                                                            nvarchar                                                                                                                        
RuleCondition                                                                                                                    RuleId                                                                                                                           uniqueidentifier                                                                                                                
RuleCondition                                                                                                                    CreatedBy                                                                                                                        uniqueidentifier                                                                                                                
RuleCondition                                                                                                                    CreatedAt                                                                                                                        datetime2                                                                                                                       
RuleCondition                                                                                                                    UpdatedAt                                                                                                                        datetime2                                                                                                                       
RuleCondition                                                                                                                    IsDeleted                                                                                                                        bit                                                                                                                             
RuleCondition                                                                                                                    DeletedAt                                                                                                                        datetime2                                                                                                                       
RuleSet                                                                                                                          RuleSetId                                                                                                                        uniqueidentifier                                                                                                                
RuleSet                                                                                                                          Name                                                                                                                             nvarchar                                                                                                                        
RuleSet                                                                                                                          IsActive                                                                                                                         bit                                                                                                                             
RuleSet                                                                                                                          CreatedAt                                                                                                                        datetime2                                                                                                                       
RuleSet                                                                                                                          PatternId                                                                                                                        uniqueidentifier                                                                                                                
RuleSet                                                                                                                          CreatedBy                                                                                                                        uniqueidentifier                                                                                                                
RuleSet                                                                                                                          UpdatedAt                                                                                                                        datetime2                                                                                                                       
RuleSet                                                                                                                          IsDeleted                                                                                                                        bit                                                                                                                             
RuleSet                                                                                                                          DeletedAt                                                                                                                        datetime2                                                                                                                       
RuleSet                                                                                                                          GradeMasterId                                                                                                                    uniqueidentifier                                                                                                                
RuleSet                                                                                                                          ExamType                                                                                                                         nvarchar                                                                                                                        
StudentMarks                                                                                                                     Id                                                                                                                               uniqueidentifier                                                                                                                
StudentMarks                                                                                                                     IsCarryForward                                                                                                                   bit                                                                                                                             
StudentMarks                                                                                                                     Head                                                                                                                             nvarchar                                                                                                                        
StudentMarks                                                                                                                     Marks                                                                                                                            int                                                                                                                             
StudentMarks                                                                                                                     Resolution                                                                                                                       int                                                                                                                             
StudentMarks                                                                                                                     Grace                                                                                                                            nvarchar                                                                                                                        
StudentMarks                                                                                                                     Remark                                                                                                                           nvarchar                                                                                                                        
StudentMarks                                                                                                                     MarksId                                                                                                                          uniqueidentifier                                                                                                                
StudentMarks                                                                                                                     SubjectId                                                                                                                        uniqueidentifier                                                                                                                
StudentMarks                                                                                                                     CreditsId                                                                                                                        uniqueidentifier                                                                                                                
StudentMarks                                                                                                                     CreatedBy                                                                                                                        uniqueidentifier                                                                                                                
StudentMarks                                                                                                                     CreatedAt                                                                                                                        datetime2                                                                                                                       
StudentMarks                                                                                                                     UpdatedAt                                                                                                                        datetime2                                                                                                                       
StudentMarks                                                                                                                     IsDeleted                                                                                                                        bit                                                                                                                             
StudentMarks                                                                                                                     DeletedAt                                                                                                                        datetime2                                                                                                                       
StudentMarks                                                                                                                     RawMarks                                                                                                                         int                                                                                                                             
StudentMarks                                                                                                                     Grade                                                                                                                            nvarchar                                                                                                                        
StudentMarks                                                                                                                     GradePoint                                                                                                                       int                                                                                                                             
StudentMarks                                                                                                                     RawGradePoint                                                                                                                    int                                                                                                                             
StudentMaster                                                                                                                    StdMstId                                                                                                                         uniqueidentifier                                                                                                                
StudentMaster                                                                                                                    StudentId                                                                                                                        nvarchar                                                                                                                        
StudentMaster                                                                                                                    FirstName                                                                                                                        nvarchar                                                                                                                        
StudentMaster                                                                                                                    MiddleName                                                                                                                       nvarchar                                                                                                                        
StudentMaster                                                                                                                    LastName                                                                                                                         nvarchar                                                                                                                        
StudentMaster                                                                                                                    Email                                                                                                                            nvarchar                                                                                                                        
StudentMaster                                                                                                                    Phone                                                                                                                            nvarchar                                                                                                                        
StudentMaster                                                                                                                    Address                                                                                                                          nvarchar                                                                                                                        
StudentMaster                                                                                                                    Gender                                                                                                                           nvarchar                                                                                                                        
StudentMaster                                                                                                                    Category                                                                                                                         nvarchar                                                                                                                        
StudentMaster                                                                                                                    StudentPRN                                                                                                                       nvarchar                                                                                                                        
StudentMaster                                                                                                                    PhotoUrl                                                                                                                         nvarchar                                                                                                                        
StudentMaster                                                                                                                    SignUrl                                                                                                                          nvarchar                                                                                                                        
StudentMaster                                                                                                                    DateOfBirth                                                                                                                      datetime2                                                                                                                       
StudentMaster                                                                                                                    CollegeId                                                                                                                        uniqueidentifier                                                                                                                
StudentMaster                                                                                                                    CreatedBy                                                                                                                        uniqueidentifier                                                                                                                
StudentMaster                                                                                                                    CreatedAt                                                                                                                        datetime2                                                                                                                       
StudentMaster                                                                                                                    UpdatedAt                                                                                                                        datetime2                                                                                                                       
StudentMaster                                                                                                                    IsDeleted                                                                                                                        bit                                                                                                                             
StudentMaster                                                                                                                    DeletedAt                                                                                                                        datetime2                                                                                                                       
SubjectCreditMaster                                                                                                              CreditsId                                                                                                                        uniqueidentifier                                                                                                                
SubjectCreditMaster                                                                                                              TotalCredits                                                                                                                     nvarchar                                                                                                                        
SubjectCreditMaster                                                                                                              AYID                                                                                                                             nvarchar                                                                                                                        
SubjectCreditMaster                                                                                                              SubjectId                                                                                                                        uniqueidentifier                                                                                                                
SubjectCreditMaster                                                                                                              AcademicYearAYID                                                                                                                 uniqueidentifier                                                                                                                
SubjectCreditMaster                                                                                                              CreatedBy                                                                                                                        uniqueidentifier                                                                                                                
SubjectCreditMaster                                                                                                              CreatedAt                                                                                                                        datetime2                                                                                                                       
SubjectCreditMaster                                                                                                              UpdatedAt                                                                                                                        datetime2                                                                                                                       
SubjectCreditMaster                                                                                                              IsDeleted                                                                                                                        bit                                                                                                                             
SubjectCreditMaster                                                                                                              DeletedAt                                                                                                                        datetime2                                                                                                                       
SubjectCredits                                                                                                                   Id                                                                                                                               uniqueidentifier                                                                                                                
